id,scrape_id,last_scraped,source,name,host_id,host_profile_id,host_name,hosts time as user,hosts time as host,host_listings_count,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,total stay days,total price,minimum_nights,maximum_nights,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1.07E+18,2.03E+13,4/15/2026,previous scrape,", Selected by hotel",537145098,1.47E+18,The Benjamin Royal Sonesta New York,"2,7","2,3",5,t,Manhattan,40.7565,-73.972,Room in hotel,Private room,2,1.5,1 private bath,1,1,301,20,6020,1,731,4/15/2026,225,1/14/2024,4/10/2026,4.7,4.67,4.79,4.79,4.56,4.91,4.49,1,0,8.2
1.07E+18,2.03E+13,4/15/2026,previous scrape,"Modern Amenities! Rooftop Bar, Pets Allowed!",501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.76458,-73.99595,Room in hotel,Hotel room,2,1.5,1 private bath,1,1,469,1,469,1,1125,4/15/2026,0,,,,,,,,,,13,0,1.17
1.06E+18,2.03E+13,4/15/2026,previous scrape,2BR with great kitchen,35491667,1.47E+18,LEAP NY Apartments,"10,10","3,9",220,t,Manhattan,40.85441,-73.93048,Entire rental unit,Entire home/apt,3,1.5,1 bath,2,1,105.63,30,3168.9,30,175,4/15/2026,10,6/12/2024,12/13/2025,4.9,4.9,4.8,5,5,4.1,4.8,0,0,0.45
1.06E+18,2.03E+13,4/15/2026,previous scrape,Spacious 2BR 1.5BA with laundry,201938100,1.47E+18,Antonio,"7,9","7,9",8,t,Manhattan,40.74861196,-73.98139362,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2,1,215,30,6450,30,365,4/15/2026,2,2/27/2025,10/23/2025,4.5,3.5,4,5,4.5,4.5,3.5,0,0,0.15
1.06E+18,2.03E+13,4/15/2026,previous scrape,Large 1BR Apt in Unbeatable Loc.,298841502,1.47E+18,Bianca,"6,6","6,6",3,t,Manhattan,40.71823212,-73.98773764,Entire rental unit,Entire home/apt,3,1.5,1 bath,1,1,131.03,30,3930.9,30,365,4/15/2026,3,5/14/2024,5/11/2025,4.33,3.67,4.33,3.33,3.67,5,3.67,0,0,0.13
1.07E+18,2.03E+13,4/15/2026,previous scrape,Steps to Times Square + Rooftop Bar & Restaurant,556676969,1.47E+18,Kimpton Theta New York - Times Square,"2,3","2,3",2,t,Manhattan,40.76021,-73.98761,Room in hotel,Private room,2,1.5,1 private bath,1,1,385.4,2,770.8,1,365,4/15/2026,329,2/11/2024,3/30/2026,4.74,4.81,4.85,4.78,4.78,4.88,4.68,2,0,12.42
1.07E+18,2.03E+13,4/15/2026,city scrape,Walk to Broadway Theatres + Rooftop Bar & Gym,556676969,1.47E+18,Kimpton Theta New York - Times Square,"2,3","2,3",2,t,Manhattan,40.76154,-73.98555,Room in hotel,Private room,4,1,1 private bath,1,2,271.61,2,543.22,1,365,4/15/2026,199,2/13/2024,4/1/2026,4.84,4.85,4.9,4.83,4.76,4.97,4.68,2,0,7.53
1.07E+18,2.03E+13,4/15/2026,previous scrape,Best apartment in NYC!,456180839,1.47E+18,Jennifer,"3,11","2,3",1,t,Manhattan,40.77887,-73.98753,Entire rental unit,Entire home/apt,4,1.5,2 baths,2,1,364.61,30,10938.3,30,365,4/15/2026,6,5/10/2024,10/19/2025,5,5,5,5,5,5,4.83,0,0,0.25
1.07E+18,2.03E+13,4/15/2026,previous scrape,4 Pet-Friendly Rooms Close Manhattan's Attractions,501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.76458,-73.99595,Room in hotel,Hotel room,16,1.5,1.5 bath,4,1,2324,1,2324,1,1125,4/15/2026,0,,,,,,,,,,13,0,1.17
1.07E+18,2.03E+13,4/15/2026,previous scrape,"Spacious Room, Authentic New York Experience!",501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.76458,-73.99595,Room in hotel,Hotel room,2,1.5,1 private bath,1,1,513,1,513,1,1125,4/15/2026,0,,,,,,,,,,13,0,1.17
1.07E+18,2.03E+13,4/14/2026,city scrape,Near Barclays Center with On-site Dining & Gym,556868112,1.47E+18,Hilton Brooklyn New York City,"2,2","2,2",2,t,Brooklyn,40.69015719,-73.98692196,Room in hotel,Private room,2,1,1 bath,1,1,231.71,1,231.71,1,365,4/14/2026,588,1/21/2024,3/31/2026,4.77,4.82,4.84,4.88,4.78,4.85,4.62,2,0,21.64
1.07E+18,2.03E+13,4/14/2026,city scrape,Downtown Brooklyn Stay with Restaurant & Gym,556868112,1.47E+18,Hilton Brooklyn New York City,"2,2","2,2",2,t,Brooklyn,40.68842,-73.98741,Room in hotel,Private room,4,1,1 private bath,1,2,166.17,1,166.17,1,365,4/14/2026,427,1/28/2024,3/30/2026,4.77,4.79,4.85,4.85,4.79,4.83,4.65,2,0,15.85
1.07E+18,2.03E+13,4/15/2026,city scrape,Steps to Times Square | On-Site Dining. City Views,556869189,1.47E+18,Hilton Garden Inn Times Square Central NYC,"2,2","2,2",2,t,Manhattan,40.7541219,-73.98645098,Room in hotel,Private room,2,1,1 private bath,1,1,272.11,1,272.11,1,365,4/15/2026,355,1/31/2024,4/1/2026,4.63,4.66,4.69,4.74,4.66,4.89,4.46,2,0,13.21
1.07E+18,2.03E+13,4/15/2026,city scrape,Midtown NYC Stay | Gym. Restaurant + City Views,556869189,1.47E+18,Hilton Garden Inn Times Square Central NYC,"2,2","2,2",2,t,Manhattan,40.75621645,-73.98453229,Room in hotel,Private room,4,1,1 private bath,1,2,202.09,1,202.09,1,365,4/15/2026,106,2/11/2024,4/1/2026,4.44,4.51,4.63,4.67,4.48,4.84,4.32,2,0,4
1.07E+18,2.03E+13,4/15/2026,previous scrape,Private Bedroom/ Retro large Apt 15 mins to City!,502141479,1.47E+18,Eibhlin,"3,1","3,1",18,t,Brooklyn,40.70043963,-73.93889521,Private room in rental unit,Private room,1,1.5,2 baths,1,1,49.8,30,1494,30,365,4/15/2026,0,,,,,,,,,,17,0,1.17
1.07E+18,2.03E+13,4/15/2026,previous scrape,"King Room at Ink 48 Hotel, Pets Allowed!",501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.76458,-73.99595,Room in hotel,Hotel room,2,1.5,1 private bath,1,1,469,1,469,1,1125,4/15/2026,2,7/29/2025,8/31/2025,3,3,4.5,5,4,4.5,3,13,0,0.23
1.07E+18,2.03E+13,4/15/2026,city scrape,Steps to Statue Ferry | Pet Friendly + Bar on-site,556115366,1.47E+18,M Social New York Downtown,"2,3","2,3",13,t,Manhattan,40.71213392,-74.01130144,Room in hotel,Private room,4,1,1 private bath,1,2,672,1,672,1,99,4/15/2026,239,2/11/2024,3/24/2026,4.55,4.59,4.54,4.63,4.6,4.85,4.39,12,0,9.02
1.07E+18,2.03E+13,4/15/2026,previous scrape,Spare room with desk /Apt share. 20 mins to City!,502141479,1.47E+18,Eibhlin,"3,1","3,1",18,t,Brooklyn,40.68965084,-73.92830834,Private room in rental unit,Private room,1,1.5,2 baths,1,1,52,30,1560,30,365,4/15/2026,1,9/2/2024,9/2/2024,4,5,3,5,5,5,4,17,0,0.05
1.07E+18,2.03E+13,4/14/2026,city scrape,Near Wall Street | Restaurant + Skyline Views,556115366,1.47E+18,M Social New York Downtown,"2,3","2,3",13,t,Manhattan,40.71205,-74.00911,Room in hotel,Private room,2,1,1 private bath,1,1,370.12,1,370.12,1,99,4/14/2026,431,1/3/2025,3/30/2026,4.77,4.87,4.84,4.84,4.83,4.93,4.72,12,0,27.69
